title,author,year,publication_type,keywords
Compreensões do conceito de informação: traduzindo inscrições de especialistas à luz da epistemologia política de bruno latour,Zayr Claudio; Marlene Oliveira Teixeira de Melo,2023,Artigo,"Information concept; Information scientists; Bruno latour; Epistemologia; Ciência da informação; Conceito de informação; Cientista da informação; Ci??ncia da informa????o; Cientistas da informação; Abstract:; Objective:; It addresses understandings of information scientists about the concept of information.; Specifically, it discusses the inscriptions of these specialists in the light of; Bruno; Latours political epistemology.; Methods:; Under a methodological approach of material semiotics, it uses the notion of ´inscription´ and the procedure of ´translation´ for the purpose of description and bibliographic analysis of the inscriptions of foreign and; Brazilian specialists via questionnaire.; Results:; It notes different semiotic-material networks that comprise the concept of information.; Among others, they understand it as multifaceted and polysemic, they share their own conceptualizations and others that use the literature itself for such conceptualization.; Conclusions:; The construction of these semiotic-material networks that comprise the concept of information through; Bruno; Latour allows apprehending the relationships between knowledge and contradictory interests of scientific knowledge, as processes of political-epistemological identification and differentiation, beyond any objectivist disciplinary purification via epistemology informational or information science epistemology."
Interdisciplinaridade e integração dos saberes,Olga Pombo,2005,Artigo,"Interdisciplinaridade, especialização, heurística, epistemologia, universidade."
Interdisciplinaridade no contexto da Ciência da Informação: correntes e questionamentos,João Arlindo dos Santos Neto; Juliana Cardoso dos Santos; Paulo Sérgio Teles; Marta Lígia Pomim Valentim,2017,Artigo,"Interdisciplinaridade; Ciência da informação; Teoria da complexidade; Abstract:; This article investigates interdisciplinarity in the context of; Information; Science (CI), its concepts and characteristics from a literature review.; It aims to elucidate the discussion of the theme and the approaches that have been used in studies; it also proposes an embryonic concept for interdisciplinarity.; It analyzes the first studies by; Lena; Vania; Pinheiro and confronts them with the latest researches.; The study concludes that the; CI,; Library science and; Computer science perform an interdisciplinary dialogue, that is, these areas interact and create knowledge or improve the existing, being useful and recognized by all the involved areas."
Movimentos interdisciplinares e rede conceitual na Ciência da Informação,Lena Vania Ribeiro Pinheiro,2006,Trabalho em Evento,"Epistemologia da; Ciência da; Informação; Interdisciplinaridade; Conceitos e metáforas de interdisciplinaridade; Sistema; Redes; Abstract:; Epistemological study of interdisciplinarity and the historical, scientific, technological and sociocultural circumstances which contributed to its birth.; They are centered upon the main concepts e metaphors built by the field’s theoreticians, mainly permeation and cross-boundaries, and have as a starting point the primary concept – discipline.; Analysis of the interdisciplinarity causes between; Information; Science – and; Computer; Science and; Library; Science - and how this process comes to be.; In a reverse process it approaches the introduction of; Information; Science and information in theoretical studies about interdisciplinarity and how interdisciplinary notions are present in two relevant concepts for; Information; Science, systems and networks.; Information; Science – from theory to practice – is permeated by interdisciplinary concepts, notions and ideas."
Identificação e análise da contribuição teórica... mikhailov para...,Roberto Lopes Santos Junior,2011,Artigo,Ciência da informação; Epistemologia; A; I; Mikhailov; Informática; Informação científica; Interdisciplinaridade
Ciência e interdisciplinaridade em um programa de pós-graduação,Julio Cesar da Costa Ribas; Beatriz Wilges; Rogério Cid Bastos; Araci Hack Catapan,2012,Artigo,"Ciência; Interdisciplinaridade; Pesquisa científica; Conceito ontológico; Epistemologia; Abstract:; The purpose of this paper is to show how science and interdisciplinary studies must be related within a scientific research in an interdisciplinary program.; Science tends to establish relevant relations between the concepts and proposes the application of scientific methods and procedures that generate intellectual authority to research.; In order to find an adequate theoretical basis, it is extremely important to relate ontological and epistemological concepts in a line of systematic work.; This article reviews a number of factors to be considered for a scientific research to achieve its goals within the concept of interdisciplinarity.; For this, we present the essential features that a research should have.; Furthermore, we present general aspects of science, of interdisciplinarity and of an interdisciplinary program evaluated by; Coordenação de; Aperfeiçoamento de; Pessoal de; Nível; Superior (Capes)."
Epistemologia ou filosofia da ciência da informação?,Solange Puntel Mostafa,2010,Artigo,"Ciência da informação; Biblioteconomia; Filosofia da informação; Filosofia da ciência da informação; Linguagem documentária menor; Classificação descritiva por afeto; Classificacao descritiva por afetos; Abstract:; Discusses the philosophical proposal by; Luciano; Floridi for; Library and; Information; Science (LIS) and the reaction of information theorists to the proposal.; The article points out the courage of the young; Italian philosopher from the computational field who breaks the hegemony of epistemology as foundation for; BCI; however takes distance from the philosophy of information in favor of a philosophy of information science, where the creation of concepts, in; Deleuze and; Guattari´s inspiration is mandatory; following this orientation the article presents two philosophical concepts for the area of knowledge organization, such as: minor documentary language and descriptive classification by affects, considering all elements of the philosophical concept: the problem that the concept refers; components of the concept, the neighborhood and its boundaries and most importantly, the becoming of the philosophical concept on scientific or artistic practices."
O que é epistemicídio? uma introdução ao conceito para aárea da Ciência da Informação,Robson de Andrade Gonçalves; Marcos Luiz Mucheroni,2021,Artigo,"Epistemologia; Ciência da informação; Epistemicídio; Crítica da ciência; Conceito; Conceitos; Abstract:; Epistemicide is an open concept because it is in the process of permanent dialectization.; Initially associated with the exercises of power and violence against knowledge called subaltern or abyssal, the concept expands and epistemicidal extensions can be researched in several areas of knowledge, including; Information; Science.; Thus, this article develops an epistemological reflection on the concept of epistemicide from a critical-theoretical point of view.; For that, it is necessary to understand some decolonial theoretical bases and what they talk about the instances of power of information and knowledge.; The central question is based on the dilemmas of complexity, the limits of interpretation and the legitimation of spaces for the meaning of thought in the face of the urgency of debate in scientific contexts.; As this is an exploratory and qualitative research, references from the general literature on the subject and specific from; Information; Science were selected.; The analysis of this referential followed the procedures of literature review and problematization, used the hermeneutic-reflective method to arrive at the theoretical-epistemological positions on the concept of epistemicide.; The results indicate that the topic is discussed at the specialized literature in the area.; In the discussion, points of convergence were identified with the colonial dialectical process of maintaining the dominant culture in different ways, which requires an epistemologically critical position in; Information; Science.; It concludes that it is necessary to exercise an epistemological reflection without disregarding positions on border lines or even opposites.; The article contributes to highlight the concept of epistemicide in information studies"
Informação segundo niklas luhmann: base teórica para uma ciência do informar-se,Marcos Gonzalez de Souza,2011,Trabalho em Evento,"Teoria de sistemas; Epistemologia da; Ciência da; Informação; Abstract:; In the context of his encompassing systems theory,; Niklas; Luhmann (2010 [1995]) rejected the “metaphor of information transfer”, an hegemonic concept since the “theory of communication” of; Claude; Shannon (1948), which put him in a “minority position” in relation to the academic research of his time.; In an effort to erect “a building complex enough to serve as a contrast to what was obtained by tradition”,; Luhmann then proposed a surrogate concept of information, which is here interpreted in the light of linguistic arguments.; We conclude that, for; Luhmann, information is either “action of self information” or “a result or effect” of this action, which must be understood in the sense of “instruction of processes”.; We consider, in the end, that his concept and theory are able to expand the epistemological horizons of; Information; Science."
A grande bibliologia: notas epistemológico-históricas sobre a ciência da organização dos saberes,Gustavo Silva Saldanha,2016,Artigo,"Bibliologia; Epistemologia informacional; Filosofia da ciência da informação; História da ciência da informação; Livro; Abstract:; Based on the methodology of the historical epistemology of knowledge organization with a; Dilthyean approach, the aim of the study is to discuss some prominent aspects of; Bibliology, considered as macroknowledge, based on the discourses of; Gabriel; Peignot,; Paul; Otlet and; Robert; Estivals.; The main objective was to consider epistemology as the pioneer in the endeavor to support scientific discourse that is now called epistemology of informational studies, informational epistemology, or epistemology of; Science; Information.; More specifically, the objective is to discuss the relationship of; Bibliology with; Peignot and; Otlet and its expression during the long nineteenth century, based on scientific, rational and systematic culture and the acclaim of epistemology as it reflects academic-empirical knowledge.; From a vertical perspective, we discuss the scientific concept of book and its importance for the development of; Bibliology for; Gabriel; Peignot and; Paul; Otlet."
O sombra kitsch na Ciência da Informação: concepções sobre a interdisciplinaridade identitária e epistêmica,Sérgio Rodrigues Santana; Maytê Luanna Dias de Melo; Edivanio Duarte de Souza,2021,Trabalho em Evento,Interdisciplinaridade; Kitsch; Epistemologia; Ciência da informação; Palavras e imagens esponjas
A redução ao sistema como operação epistêmica na pesquisa descritiva e explicativa em Ciência da Informação,Vinícius Medina Kern; Luciana Mara Silva; Paula Balbis Garcia; Letícia Silvana dos Santos Estácio; Wemylinn Giovana Florencio Andrade; Marta Denisczwicz; Leonardo Lima Günther; Robson Garcia Formoso,2016,Trabalho em Evento,"Cesm system model; Sistemismo; Modelo cesm de sistema; Epistemologia; Realismo científico; Interdisciplinaridade; Abstract:; The scientific reduction to the individual or atom, typical of analytical, disciplinary science, earned the derogatory designation “reductionism” to denounce its inadequacy to deal with concrete, complex problems.; Bunges systemism is a worldview at variance with reductionism, but also with the “reduction to the whole” of holistic approaches that deny the possibility of explanation through analysis.; This article presents the reduction to the system, a fundamental epistemic operation of systemism, with emphasis on its application to information science.; We discuss the fundamentals of systemism, particularly its composition-environment-structure-mechanism, or; CESM model, which frames systemist reduction.; A graduate course on systemist research with; CESM is presented, including a new modeling method, illustrated with students models.; We show how to explain systemic effects, even if counterintuitive, claiming that systemist research is in better conditions to do so than its rivals reductionism and holism."
