letter,term
A,Autoridades
A,A amazon
A,A análise se estrutura em 9 grupos
A,A biblioteca e seus registro informacional
A,A biblioteca e seus registros informacionais
A,A busca recuperou 9 registros
A,A cançoneta
A,A capital federal
A,A cidade letrada
A,A crítica
A,A dona do pedaço
A,A estação
A,A fábula da autonomia
A,A garra cinzenta
A,A gestão documental e o contexto do acesso e da difusão
A,A handbook for the cataloguer-part 1
A,A ilha do governador oitocentista
A,A illusão americana
A,a key figure in modern archival science
A,A leitura e o ensino da literatura
A,a look at the foundation of mediation of the information and its dimensions
A,A medicina na era da informação
A,A metáfora
A,A nova escrita
A,A participação do cidadao
A,A participação dos cidadãos
A,A partir de pesquisas e idéias de diferentes autores
A,A phenomenon of web 2
A,A queda de bagdá
A,A quinta história
A,"A tese teve como objetivo analisar como estão representados os assuntos, relacionados à saúde, em folhetos de cordel produzidos pelo poeta manoel monteiro"
A,A uma passante
A,A uma passante-charles de baudelaire
A,A3es
A,Aa
A,Aã§ã£o cultural
A,Aã§ai
A,Aã§ãµes afirmativas
A,Aacr 2
A,Aacr2
A,Aacr2r
A,Aapb
A,Aaron swartz
A,Aaúde da família
A,Ab
A,Abacaxi
A,Abastecimento de água
A,Abate e preparação de carne
A,Abcd
A,Abd capixaba
A,Abdf
A,Abebd
A,Abecin
A,Abertura
A,Abertura científica
A,Abertura comercial
A,Abertura de arquivo
A,Abertura de arquivos
A,Abertura de dado
A,Abertura de dados
A,Abertura de empresa
A,Abertura de empresas
A,Abertura do código fonte
A,Abertura seletiva
A,Abia
A,Abidoral jamacaru
A,Abimael fonseca
A,Abinia
A,ABIPTI
A,Abner vicentini
A,Abner vicentini 1929-1976
A,Abnt
A,Abnt nbr iso/iec 27002:2013
A,Abnt-estudo
A,Abnt.iso/r 639
A,Abolição
A,Abolição gradual
A,Abolicionismo
A,Abordagem crítica
A,Abordagem
A,Abordagem alternativa
A,Abordagem arquitetural
A,Abordagem bibliográfica do documento
A,Abordagem bilíngue
A,Abordagem canadense
A,Abordagem centrada no usuário
A,Abordagem centrada no utilizador
A,Abordagem clínica da informação
A,Abordagem cognitiva
A,Abordagem cognitive
A,Abordagem cognitivista
A,Abordagem contextual
A,Abordagem cultural
A,Abordagem da liderança
A,Abordagem de capacidades
A,Abordagem de pesquisa
A,Abordagem Decolonial
A,Abordagem dialógica
A,abordagem didática
A,Abordagem diferenciada
A,Abordagem em rede
A,Abordagem epistemológica
A,Abordagem estruturalista
A,Abordagem facetada
A,Abordagem fenomenológica
A,Abordagem filosófica da informação
A,Abordagem fisicalista em ciência da informação
A,Abordagem freireana
A,Abordagem histórico-cultural
A,Abordagem holística
A,Abordagem humanística da informação
A,Abordagem interacionista
A,Abordagem interdisciplinar
A,Abordagem matemática
A,Abordagem mentalista em Ciência da Informação
A,Abordagem metodológica
A,Abordagem métrica
A,Abordagem multimodal
A,Abordagem onomasiológica
A,Abordagem participativa
A,Abordagem poliepistêmica da dinâmica informacional
A,Abordagem poliepistêmica das dinâmicas informacionais
A,Abordagem político-cultural do mercado
A,Abordagem político-cultural dos mercados
A,Abordagem por competências
A,Abordagem quadripolar
A,Abordagem qualitativa
A,"abordagem qualitativa, exploratória e descritiva"
A,Abordagem quantitativa
A,Abordagem semasiológica
A,Abordagem sense making
A,Abordagem sense-making
A,Abordagem sistêmica
A,Abordagem sobre informação
A,Abordagem social
A,Abordagem social da ciência da informação
A,Abordagem sócio-cognitiva
A,Abordagem sociocognitiva
A,Abordagem sóciocultural
A,Abordagem sociocultural da ciência da informação
A,Abordagem sociológica
A,Abordagem sociotécnica
A,Abordagem temática da informação
A,Abordagem teórica
A,Abordagem teórica da inteligência artificial
A,Abordagem tradicional
A,Abordagem tríplice-hélice
A,Abordagens
A,Abordagens cognitivistas
A,Abordagens da arquitetura da informação
A,Abordagens da liderança
A,Abordagens da psicologia
A,Abordagens de gestão
A,Abordagens de pesquisa
A,Abordagens epistemológicas
A,Abordagens filosóficas da informação
A,Abordagens físicas
A,Abordagens metafísicas
A,Abordagens métricas
A,abordagens semasiológica e onomasiológica
A,Abordagens socioculturais
A,Abordagens Teóricas
A,Aborto
A,Aboutness
A,Abril cultural
A,Absenteísmo
A,Absorção
A,Abstração
A,Abstração de dado
A,ABSTRACT Between 1964 and 1985
A,ABSTRACT KEYWORDS Operation Car Wash
A,ABSTRACT REBECIN
A,ABSTRACT The article addresses the detention of the sumac named Maltese
A,ABSTRACT This article discusses the role of archives
A,ABSTRACT A student with a disability in a library can represent a challenge
A,ABSTRACT Archival appraisal is a fundamental function of archivology
A,ABSTRACT Health literacy refers to the ability to access
A,Abstract In this article
A,Abstract It analyzes the trajectory of the UFRN Truth Commission
A,ABSTRACT Newspapers play a role in the construction of subjectivities
A,ABSTRACT Open Education
A,ABSTRACT People with disabilities have the right to access information
A,ABSTRACT Records management is fundamental to Archival Science
A,Abstract Special collections can comprise different types of materials
A,Abstract Telenovelas
A,ABSTRACT The aim of this study was to analyze health
A,ABSTRACT The article presents Natalis de Wailly
A,ABSTRACT The objective of this study is to describe the production
A,ABSTRACT The photograph
A,Abstract These reflections
A,ABSTRACT This article
A,ABSTRACT This article addresses the Representation of Information in archives
A,Abstract
A,Abstract currently
A,Abstract databases
A,Abstract digital preservation
A,Abstract helplessness
A,Abstract in the context of health
A,Abstract in the theoretical approach of indexing
A,Abstract in this paper
A,Abstract in this text
A,Abstract in todays scenario of contemporary science
A,Abstract information mediation
A,Abstract it was sought to understand how
A,Abstract objective: subject analysis
A,Abstract objective: this study examines how schema
A,Abstract personal data
A,Abstract search engines currently available on the web
A,Abstract the experimental
A,Abstract the fair principles
A,Abstract the folksonomy
A,Abstract the mediation of information
A,Abstract this work
A,Abstract: currently
A,Abstract: folksonomies
A,Abstract: historically
A,Abstract: in the field of information science
A,Abstract: information literacy
A,Abstract: it presents a research results
A,Abstract: post data
A,Abstract: the fair principles
A,Abstract: the field of knowledge organization
A,Abstract: the research
A,Abstracts political
A,Abstracts thestructureofdatabases
A,Abuso da liberdade
A,Abuso de idosos
A,Abuso sexual infantil
A,Abuso sexual infantil en internet
A,Abuso sexual infantojuvenil pela internet
